,predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
0,15798.309,16527.432,15820,24500
1,13880.912,14522.56,14140,14420
2,14420.794,15085.678,17890,18240
3,14166.275,14821.487,14500,14500
4,13504.338,14128.853,12500,14450
5,13115.031,13727.239,12163,12117
6,12195.053,12762.735,13500,13500
7,12412.754,12995.072,12495,12495
8,11864.861,12421.108,11500,11500
9,11944.351,12502.388,12710,12710
10,11689.81,12234.012,12500,12500
11,11921.184,12484.062,10250,10250
12,11943.865,12499.511,13000,14000
13,10967.22,11482.445,11000,11000
14,12607.182,13189.173,15950,17250
15,9977.573,10446.8955,10000,10000
16,10696.513,11200.772,10700,11000
17,10470.111,10963.581,10000,11500
18,11567.809,12113.606,11000,12000
19,10353.42,10840.524,10000,11000
20,10300.3955,10783.882,13500,13500
21,8863.252,9278.1455,9250,9250
22,11298.572,11834.626,10700,10700
23,10638.92,11143.267,11000,9500
24,11308.406,11844.45,11250,11250
25,12094.691,12654.802,14000,13500
26,11367.899,11904.305,12000,12500
27,9694.66,10152.825,10900,11440
28,10706.689,11209.865,9250,9250
