predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18667.043,19448.572,21750,23187
15563.745,16214.636,16400,16400
15483.058,16130.655,14300,15000
13830.214,14410.629,13500,14000
13775.315,14351.388,14200,14200
14392.389,14995.433,14500,14500
15061.028,15689.888,13000,13000
14603.53,15214.898,13850,16200
15392.82,16035.029,13020,13420
11780.138,12271.892,11150,11500
10921.591,11374.66,12000,12500
9541.421,9940.371,11000,11000
7124.7637,7415.9316,10000,10000
11698.157,12183.679,11000,13000
9930.64,10344.19,10750,10950
11473.263,11952.669,11000,12000
10026.3,10440.776,10000,11000
8805.907,9169.028,10000,6000
9843.445,10247.509,12100,12650
12643.802,13170.768,11200,13000
12540.707,13062.496,11000,11000
10728.613,11173.643,11300,11300
10375.137,10805.928,11000,9500
8714.287,9077.671,12660,12830
11745.605,12233.433,11400,13500
9138.495,9515.029,9250,9250
