predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18530.422,19594.031,21750,23187
13775.159,14569.514,16400,16400
14135.768,14950.546,14300,15000
13764.297,14556.775,13500,14000
13989.776,14795.803,14200,14200
14218.669,15036.806,14500,14500
14669.3125,15514.105,13000,13000
15084.763,15952.403,13850,16200
13939.053,14744.506,13020,13420
10516.772,11130.218,11150,11500
10724.424,11352.715,12000,12500
10818.502,11449.999,11000,11000
10232.274,10830.564,10000,10000
10817.46,11451.179,11000,13000
10807.81,11439.663,10750,10950
11135.613,11785.393,11000,12000
10029.406,10617.63,10000,11000
9513.923,10071.774,10000,6000
11043.756,11689.785,12100,12650
11552.557,12226.595,11200,13000
11163.534,11818.547,11000,11000
10554.657,11172.23,11300,11300
10317.214,10921.58,11000,9500
10571.36,11187.948,12660,12830
11035.831,11680.251,11400,13500
9816.041,10390.331,9250,9250
