predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13185.356,13929.228,16400,16400
14989.216,15860.547,14940,14200
15291.673,16200.287,14500,14500
14609.087,15469.395,14140,14420
14442.671,15266.397,14200,14200
13625.257,14391.995,13300,13300
13977.731,14736.569,13280,13430
14736.247,15592.171,14450,14450
11418.394,11966.553,12163,12117
10580.028,11049.819,12500,12500
12292.466,12984.77,16880,16880
12453.762,13107.28,13500,13500
10894.526,11471.549,10766,10689
9104.986,9503.314,10650,10995
11357.45,11896.736,12400,12580
11232.0205,11812.47,12710,12710
12003.963,12662.114,13000,14000
11171.996,11647.996,12250,13250
10720.81,11200.404,10000,11500
10735.995,11212.391,10500,10500
10732.869,11205.622,10900,11440
12538.721,13147.965,13500,14500
9560.426,9980.604,10000,6000
9229.695,9647.648,9250,9250
10544.872,11006.516,12100,12650
11471.954,11982.542,11400,13500
