predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20399.024390243903,20579.682926829268,21750,23187
14632.073170731708,15460.378048780487,16400,16400
15109.390243902439,15780.060975609756,14300,15000
14377.048780487805,14859.719512195123,13500,14000
14432.19512195122,14612.80487804878,14200,14200
14766.463414634147,15230.365853658537,14500,14500
14013.658536585366,14693.475609756097,13000,13000
14062.719512195123,14517.524390243903,13850,16200
12770.975609756097,13467.621951219513,13020,13420
11393.036585365853,11803.30487804878,11150,11500
11712.682926829268,11864.817073170732,12000,12500
11759.512195121952,12188.536585365853,11000,11000
10895.487804878048,11214.390243902439,10000,10000
10835.914634146342,11033.59756097561,11000,13000
10840.731707317073,11499.817073170732,10750,10950
11396.463414634147,11843.048780487805,11000,12000
10766.365853658537,10998.207317073171,10000,11000
10733.463414634147,10982.817073170732,10000,6000
10674.024390243903,11183.292682926829,12100,12650
11826.19512195122,12333.560975609756,11200,13000
10250.170731707318,10877.390243902439,11000,11000
11369.865853658537,11598.30487804878,11300,11300
10939.865853658537,11364.280487804877,11000,9500
11698.341463414634,12234.707317073171,12660,12830
11328.170731707318,11593.170731707318,11400,13500
11765.670731707318,11968.719512195123,9250,9250
