predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19753.7,20967.85,21750,23187
14208.8,15284.48,16400,16400
14603.7,15372.0,14300,15000
14388.33,14852.35,13500,14000
14140.2,14479.1,14200,14200
14599.9,15118.23,14500,14500
13858.15,14098.8,13000,13000
14266.63,14502.4,13850,16200
12607.6,13109.15,13020,13420
11536.47,11990.28,11150,11500
11689.25,12045.6,12000,12500
11915.31,12349.49,11000,11000
10715.27,11064.68,10000,10000
11007.62,11351.93,11000,13000
10832.76,11468.49,10750,10950
11634.61,12416.79,11000,12000
10459.45,10876.65,10000,11000
10588.97,10916.13,10000,6000
10891.92,11219.58,12100,12650
11798.7,12368.75,11200,13000
10285.85,11003.1,11000,11000
11436.65,11803.6,11300,11300
10980.62,11517.13,11000,9500
11721.14,12311.76,12660,12830
11063.5,11695.9,11400,13500
12094.25,12505.15,9250,9250
