predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18820.35714285714,21747.47619047619,21770,19888
17157.14285714286,20432.571428571428,17040,15440
14582.97619047619,15863.154761904761,15200,14800
14270.119047619048,14548.333333333334,14140,14420
14553.452380952382,15839.357142857143,17890,18240
13562.380952380952,13820.17857142857,12950,14875
15641.547619047618,17159.035714285714,15600,17040
14576.666666666666,15099.535714285714,14450,14450
11000.095238095239,11442.880952380952,10500,12500
11041.916666666666,11808.916666666666,12000,12500
11105.714285714286,11549.22619047619,12000,12500
11462.369047619048,11765.666666666666,11450,11950
10895.0,11390.654761904761,10000,11500
10779.440476190477,11298.238095238095,10750,10950
11598.452380952382,12617.02380952381,11000,12000
10788.011904761905,11279.369047619048,11120,11400
11854.238095238095,12655.404761904761,13500,13500
11015.416666666666,11434.22619047619,10000,6000
11516.190476190477,11994.285714285714,9250,9250
11931.72619047619,12529.107142857143,11200,13000
10776.357142857143,11275.25,11000,11000
10676.904761904761,11055.0,10750,11250
10665.52380952381,11364.892857142857,11000,9500
11281.440476190477,12352.130952380952,10500,10500
11277.619047619048,12032.440476190477,12660,12830
12404.404761904761,12629.52380952381,9250,9250
