predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
29378.65571014039,21819.711001890624,21750.0,23187.0
14802.924108102812,16188.627597899798,16400.0,16400.0
14442.906885960485,14430.853259032654,14300.0,15000.0
13647.136864623646,13799.625459089864,13500.0,14000.0
15106.34435795316,15382.446942900504,14200.0,14200.0
13280.16961839231,14924.113606030274,14500.0,14500.0
10980.949731560324,13601.066197516348,13000.0,13000.0
13421.22530725488,14672.088283431724,13850.0,16200.0
12356.008921338089,13115.955206424193,13020.0,13420.0
12274.08714185067,12559.966658764637,11150.0,11500.0
12764.847059885853,11803.643775913475,12000.0,12500.0
12682.482777099467,11896.345059690293,11000.0,11000.0
11524.670674221841,12286.688023721501,10000.0,10000.0
10481.282884990802,11573.884052669697,11000.0,13000.0
11668.40067365952,11912.866029860677,10750.0,10950.0
11659.269067432715,11518.732665760752,11000.0,12000.0
9737.76535193102,11047.841316603715,10000.0,11000.0
8304.44090073779,10553.039933255532,10000.0,6000.000000000002
11442.729511120666,12176.594222322308,12100.0,12650.0
10915.712820504334,11579.5626348326,11200.0,13000.0
11425.236004566465,11364.99281607044,11000.0,11000.0
11245.976656538072,11820.675546874023,11300.0,11300.0
9550.946262218607,11074.322562897947,11000.0,9500.0
11086.629786701935,11641.593780761275,12660.0,12830.0
10004.668670241947,12852.615823352653,11400.0,13500.0
9290.95597337868,11190.276893142036,9250.0,9250.0
