predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15708.541415885375,16030.749727191129,15660,17250
13793.934245401073,14160.532869508352,13500,14000
13748.102423758528,14107.817992222403,15200,14800
14052.714952355822,14418.420491433704,14500,14500
14889.540187750565,15271.044367167775,14500,14500
14952.385586119542,15331.349639177104,15850,16500
12780.566676921393,13114.867905616942,13020,13420
12881.646408375054,13230.576811872792,13280,13430
12890.06847924782,13235.797669721867,14250,13850
12504.183747984742,12845.273868276283,11275,11900
12852.14207132885,13192.311231631738,12890,12890
12125.023758900445,12523.199793602953,11250,11250
12224.172875084272,12634.521085070477,11150,11500
12017.994907591472,12424.260485566818,11500,12700
11520.993167115595,11907.772511551611,12000,12500
12743.432854928258,13130.018911698618,13000,14000
11722.094489225014,12113.648260183647,10500,10500
11805.671740284222,12225.822753031041,11000,12000
11791.276096819756,12188.590192537584,13500,14500
11332.61347768512,11648.516552596606,10000,6000
11402.41467415282,11781.357932455803,10800,12500
12196.62753830623,12532.295019499014,12000,14000
10825.052578806048,11210.1416210125,10500,10500
11813.36533887229,12204.832558392687,12660,12830
10897.85737834282,11278.935377667556,11250,11250
11248.783104624816,11568.366073644182,9250,9250
