predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20176.0,21232.0,21750,23187
13904.0,14752.0,16400,16400
15504.0,16032.0,14300,15000
14384.0,15792.0,13500,14000
14160.0,15664.0,14200,14200
14720.0,16192.0,14500,14500
14368.0,15184.0,13000,13000
14992.0,16048.0,13850,16200
12464.0,13408.0,13020,13420
11280.0,10912.0,11150,11500
13152.0,13152.0,12000,12500
10832.0,10912.0,11000,11000
13376.0,13648.0,10000,10000
9584.0,9840.0,11000,13000
9264.0,10096.0,10750,10950
10384.0,11264.0,11000,12000
11200.0,10784.0,10000,11000
11616.0,13296.0,10000,6000
12928.0,12544.0,12100,12650
11536.0,12320.0,11200,13000
10160.0,10704.0,11000,11000
13104.0,11280.0,11300,11300
11808.0,11488.0,11000,9500
11648.0,11680.0,12660,12830
14400.0,14848.0,11400,13500
12864.0,13584.0,9250,9250
