predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20617.0,20887.0,21750,23187
13845.0,14496.0,16400,16400
15121.0,16037.0,14300,15000
14891.0,15955.0,13500,14000
13957.0,15940.0,14200,14200
15119.0,16041.0,14500,14500
15484.0,14923.0,13000,13000
15210.0,15940.0,13850,16200
12178.0,13463.0,13020,13420
10651.0,10592.0,11150,11500
11900.0,12455.0,12000,12500
10766.0,10816.0,11000,11000
13106.0,13375.0,10000,10000
9011.0,8593.0,11000,13000
9470.0,10067.0,10750,10950
10362.0,11213.0,11000,12000
11164.0,10654.0,10000,11000
11904.0,13418.0,10000,6000
13263.0,12758.0,12100,12650
11423.0,11842.0,11200,13000
11115.0,11693.0,11000,11000
13468.0,12088.0,11300,11300
11766.0,11798.0,11000,9500
11561.0,11906.0,12660,12830
14273.0,14951.0,11400,13500
13089.0,14299.0,9250,9250
