predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19520.0,19552.0,21770,19888
16352.0,17824.0,23500,29900
14352.0,15392.0,15200,14800
14928.0,16000.0,14140,14420
14624.0,16352.0,14200,14200
12432.0,12704.0,12950,14875
14384.0,15552.0,12500,14450
18080.0,15392.0,10500,10500
11888.0,12480.0,11250,11250
13040.0,14336.0,10800,10800
13248.0,13568.0,12710,12710
11712.0,12864.0,12000,12500
14048.0,12160.0,11000,13000
11472.0,12384.0,10500,10500
11840.0,11168.0,10380,10930
11760.0,11520.0,13000,12750
11312.0,12608.0,10467,11133
12880.0,15072.0,13500,13500
12048.0,12160.0,11250,12000
10944.0,12160.0,10000,6000
14816.0,12128.0,9250,9250
11392.0,12064.0,11200,13000
12064.0,12192.0,11300,11300
9504.0,9312.0,10800,12500
12640.0,12416.0,12000,14000
9808.0,10720.0,10500,10500
